"State","City","Year","Pop_1930","police_only","fire_only",
"Pennsylvania","Monongahela",1913,8,1,1,"engineer, health"
"Pennsylvania","Nanticoke",1931,26,0,0,
"Pennsylvania","New Castle",1934,49,0,0,"electrical, engineering"
"Pennsylvania","New Castle",1935,49,1,0,
"Pennsylvania","New Castle",1924,49,1,1,
"Pennsylvania","New Kensington",1934,16,1,1,"health"
"Pennsylvania","Oil City",1917,22,0,0,
"Pennsylvania","Philadelphia",1906,1950,0,0,
"Pennsylvania","Pittsburgh",1907,669,0,0,
"Pennsylvania","Pittston",1926,18,0,0,
"Pennsylvania","Pottsville",1914,24,1,0,
"Pennsylvania","Reading",1917,111,1,0,"health, electric, building inspector"
"Pennsylvania","Scranton",1907,143,1,1,
"Pennsylvania","Sharon",1920,25,1,1,"engineer, health"
"Pennsylvania","Sunbury",1930,,1,0,
"Pennsylvania","Titusville",1934,8,0,0,
"Pennsylvania","Uniontown",1917,19,1,1,
"Pennsylvania","Washington",1924,24,1,1,
"Pennsylvania","Williamsport",1917,45,1,1,"engineer, health"
"Pennsylvania","York",1940,55,0,1,
"Pennsylvania","York",1913,55,1,0,
"South Carolina","Columbia",1910,51,1,1,
"South Carolina","Greenville",1939,29,1,1,
"South Carolina","Spartanburg",1916,28,0,0,
"South Dakota","Sioux Falls",1938,33,0,0,
"Tennessee","Johnson City",1929,25,0,0,
"Tennessee","Knoxville",1912,105,0,0,
"Tennessee","Memphis",1935,253,0,0,
"Tennessee","Nashville",1943,153,0,0,
"Texas","Corpus Christi",1939,27,0,0,
"Texas","Dallas",1931,260,0,0,
"Texas","El Paso",1935,102,0,0,
"Texas","Forth Worth",1925,163,0,0,
"Texas","Houston",1913,292,0,0,
"Texas","San Antonio",1931,231,1,1,
"Texas","Waco",1936,52,0,0,
"Utah","Logan",1932,9,1,1,
"Utah","Provo City",1937,14,1,1,
"Utah","Salt Lake City",1921,140,1,1,
"Virginia","Norfolk",1918,129,1,1,
"Virginia","Portsmouth",1936,45,0,0,
"Washington","Aberdeen",1932,21,0,0,
"Washington","Anacortes",1933,6,1,1,
"Washington","Auburn",1939,3,1,0,
"Washington","Bellingham",1904,30,0,0,
"Washington","Bremerton",1935,10,1,1,
"Washington","Camas",1936,4,1,1,
"Washington","Centralia",1935,8,0,1,
"Washington","Centralia",1937,8,1,0,
"Washington","Chehalis",1937,5,0,0,
"Washington","Cle Elum",1937,2,1,0,
"Washington","Ellensburg",1938,4,1,1,
"Washington","Everett",1912,30,1,1,
"Washington","Grand Coulee",1937,1,1,0,
"Washington","Hoquiam",1935,12,1,1,
"Washington","Kelso",1937,6,1,1,
"Washington","Longview",1937,10,1,1,
"Washington","Mt. Vernon",1935,3,1,1,
"Washington","Olympia",1935,11,1,1,
"Washington","Pasco",1938,3,1,0,
"Washington","Pomeroy",1938,1,1,0,
"Washington","Port Angeles",1937,10,1,1,
"Washington","Port Townsend",1939,4,1,1,
"Washington","Pullman",1937,3,1,0,
"Washington","Puyallup",1938,77,1,1,
"Washington","Renton",1938,4,1,0,
"Washington","Seattle",1896,365,0,0,
"Washington","Shelton",1938,3,1,0,
"Washington","Spokane",1911,115,0,0,
"Washington","Sumner",1938,2,1,0,
"Washington","Tacoma",1907,106,0,0,
"Washington","Toppenish",1937,2,1,1,
"Washington","Vancouver",1936,15,1,1,
"Washington","Wenatchee",1937,11,1,0,
"Washington","Wenatchee",1935,11,0,1,
"Washington","Yakima",1935,22,1,1,
"Washington","Walla Walla",1935,16,0,1,
"Washington","Walla Walla",1937,16,1,0,
"West Virginia","Beckley",1937,9,1,0,
"West Virginia","Bluefield",1937,19,1,0,
"West Virginia","Buckhannon",1933,4,0,1,
"West Virginia","Charleston",1937,60,1,0,
"West Virginia","Clarksburg",1933,28,0,1,
"West Virginia","Clarksburg",1937,28,1,0,
"West Virginia","Elkins",1937,7,1,0,
"West Virginia","Fairmont",1937,23,1,0,
"West Virginia","Grafton",1937,7,1,0,
"West Virginia","Hinton",1937,6,1,0,
"West Virginia","Huntington",1934,75,0,1,
"West Virginia","Huntington",1937,75,1,0,
"West Virginia","Keyser",1937,6,1,0,
"West Virginia","Martinsburg",1937,14,1,1,
"West Virginia","Morgantown",1934,16,0,1,
"West Virginia","Morgantown",1937,16,1,0,
"West Virginia","Moundsville",1934,14,0,1,
"West Virginia","Moundsville",1937,14,1,0,
"West Virginia","Parkersburg",1911,29,0,0,
"West Virginia","Parkersburg",1937,29,1,0,
"West Virginia","Princeton",1937,7,1,0,
"West Virginia","Richwood",1937,5,1,0,
"West Virginia","South Charleston",1937,6,1,0,
"West Virginia","Welch",1937,5,1,0,
"West Virginia","Wellsburg",1937,6,1,0,
"West Virginia","Weston",1937,8,1,0,
"West Virginia","Wheeling",1922,61,0,0,
"West Virginia","Wheeling",1937,61,0,0,
"West Virginia","Williamson",1937,9,1,0,
"Wisconsin","Appleton",1897,25,1,1,
"Wisconsin","Ashland",1897,10,1,1,
"Wisconsin","Baraboo",1910,5,1,1,
"Wisconsin","Beaver Dam",1910,9,1,1,
"Wisconsin","Beloit",1936,23,1,1,
"Wisconsin","Berlin",1910,4,1,1,
"Wisconsin","Burlington",1912,4,1,1,
"Wisconsin","Chippewa Falls",1910,9,1,1,
"Wisconsin","Cudahy",1933,10,1,1,
"Wisconsin","De Pere",1905,5,1,1,
"Wisconsin","Eau Claire",1910,26,1,1,
"Wisconsin","Fond du Lac",1897,26,1,1,
"Wisconsin","Fort Atkinson",1937,5,1,1,
"Wisconsin","Green Bay",1898,27,1,1,
"Wisconsin","Greendale",1941,,0,0,
"Wisconsin","Janesville",1936,21,1,1,
"Wisconsin","Kaukauna",1911,6,1,1,
"Wisconsin","Kenosha",1931,50,1,1,
"Wisconsin","Kenosha",1943,50,0,0,"all except police and fire"
"Wisconsin","La Crosse",1897,39,1,1,
"Wisconsin","Lake",1941,,0,0,"all except police and fire"
"Wisconsin","Madison",1897,57,1,1,
"Wisconsin","Madison",1937,57,0,0,
"Wisconsin","Manitowoc",1901,22,1,1,
"Wisconsin","Marinette",1896,13,1,1,
"Wisconsin","Marshfield",1910,8,1,1,
"Wisconsin","Menasha",1933,9,1,1,
"Wisconsin","Menomonie",".",5,0,0,
"Wisconsin","Merrill",1910,8,1,1,
"Wisconsin","Milwaukee",1885,578,1,1,
"Wisconsin","Milwaukee",1895,578,0,0,
"Wisconsin","Monroe",1910,5,1,1,
"Wisconsin","Neenah",1910,9,1,1,
"Wisconsin","Nekoosa",1927,2,1,1,
"Wisconsin","New London",1915,4,1,1,
"Wisconsin","Oconomowoc",1930,4,1,1,
"Wisconsin","Oconto",1910,5,1,1,
"Wisconsin","Oshkosh",1898,40,1,1,
"Wisconsin","Platteville",1922,4,1,1,
"Wisconsin","Portage",1912,6,1,1,
"Wisconsin","Racine",1936,67,0,0,
"Wisconsin","Racine",1897,67,1,1,
"Wisconsin","Rhinelander",1933,8,1,1,
"Wisconsin","Shawano",1935,4,1,1,
"Wisconsin","Sheboygan",1897,39,1,1,
"Wisconsin","Sheboygan",1940,39,0,0,"all except police and fire"
"Wisconsin","Shorewood",1939,13,1,1,
"Wisconsin","South Milwaukee",1910,10,1,1,
"Wisconsin","Stevens Point",1933,13,1,1,
"Wisconsin","Stoughton",1900,4,1,1,
"Wisconsin","Sturgeon Bay",1910,4,1,1,
"Wisconsin","Superior",1900,36,1,1,
"Wisconsin","Tomahawk",1940,3,1,1,
"Wisconsin","Two Rivers",1934,10,1,1,
"Wisconsin","Watertown",1897,10,1,1,
"Wisconsin","Waukesha",1910,17,1,1,
"Wisconsin","Waupun",1924,5,1,1,
"Wisconsin","Wausau",1897,23,1,1,
"Wisconsin","Wauwatosa",1922,21,1,1,
"Wisconsin","Wauwatosa",1936,21,0,0,
"Wisconsin","West Allis",1906,34,1,1,
"Wisconsin","West Allis",1939,34,0,0,"all except police and fire"
"Wisconsin","West Bend",1936,4,1,1,
"Wisconsin","Wisconsin Rapids",1921,8,1,1,
"Wyoming","Casper",1933,16,0,1,
"Wyoming","Casper",1937,16,1,0,
"Wyoming","Cheyenne",1933,17,1,1,
"Wyoming","Laramie",1936,8,0,1,
"Wyoming","Rawlins",1942,,1,0,
"Wyoming","Rock Springs",1939,8,1,1,
"Wyoming","Sheridan",1933,8,0,1,
